episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
400,-32.1,1,0,2,0.1,0.001,1.4519
401,-30.07,2,0,3,0.1,0.001,1.3097
402,-26.76,3,0,4,0.1,0.001,1.5604
403,-27.71,4,0,5,0.1,0.001,0.8571
404,-24.8,3,0,4,0.1,0.001,2.0498
405,-30.22,2,0,3,0.1,0.001,1.2592
406,-32.13,1,0,2,0.1,0.001,1.4355
407,-29.82,3,0,4,0.1,0.001,0.7955
408,40.06,2,1,2,0.1,0.001,1.5295
409,-30.31,2,0,3,0.1,0.001,1.2288
410,-31.82,2,0,3,0.1,0.001,0.7256
411,1.99,12,0,13,0.1,0.001,1.9991
412,-30.22,2,0,3,0.1,0.001,1.2603
413,-30.21,2,0,3,0.1,0.001,1.264
414,-31.66,1,0,2,0.1,0.001,1.6713
415,-31.88,1,0,2,0.1,0.001,1.558
416,-30.43,2,0,3,0.1,0.001,1.189
417,-25.64,4,0,5,0.1,0.001,1.2714
418,-33.56,1,0,2,0.1,0.001,0.7198
419,-20.77,5,0,6,0.1,0.001,1.705
420,-29.18,2,0,3,0.1,0.001,1.608
421,-24.97,4,0,5,0.1,0.001,1.4058
422,-28.72,3,0,4,0.1,0.001,1.0701
423,-29.59,2,0,3,0.1,0.001,1.4685
424,-19.16,6,0,7,0.1,0.001,1.5485
425,-28.81,2,0,3,0.1,0.001,1.7303
426,-33.54,1,0,2,0.1,0.001,0.7321
427,-31.79,1,0,2,0.1,0.001,1.603
428,-19.46,5,0,6,0.1,0.001,1.9232
429,-30.01,2,0,3,0.1,0.001,1.3299
430,-31.9,1,0,2,0.1,0.001,1.5492
431,-28.81,2,0,3,0.1,0.001,1.7304
432,-32.55,1,0,2,0.1,0.001,1.2272
433,-22.53,4,0,5,0.1,0.001,1.8934
434,-12.88,7,0,8,0.1,0.001,2.0149
435,-28.45,3,0,4,0.1,0.001,1.1376
436,-32.08,1,0,2,0.1,0.001,1.4622
437,-15.29,8,0,9,0.1,0.001,1.4122
438,-33.71,1,0,2,0.1,0.001,0.6439
439,-24.37,4,0,5,0.1,0.001,1.5264
440,43.73,3,1,3,0.1,0.001,1.9103
441,-33.72,1,0,2,0.1,0.001,0.6424
442,-29.88,3,0,4,0.1,0.001,0.7793
443,-23.77,4,0,5,0.1,0.001,1.6451
444,-27.35,3,0,4,0.1,0.001,1.413
445,-24.05,4,0,5,0.1,0.001,1.5894
446,-20.08,5,0,6,0.1,0.001,1.8203
447,-16.09,6,0,7,0.1,0.001,1.9867
448,-33.4,1,0,2,0.1,0.001,0.7983
449,-32.39,1,0,2,0.1,0.001,1.3039
450,-29.63,2,0,3,0.1,0.001,1.455
451,-31.69,1,0,2,0.1,0.001,1.6532
452,-30.45,2,0,3,0.1,0.001,1.1829
453,-28.74,2,0,3,0.1,0.001,1.7523
454,-31.82,1,0,2,0.1,0.001,1.5888
455,-27.04,3,0,4,0.1,0.001,1.4904
456,-20.88,5,0,6,0.1,0.001,1.6861
457,-30.29,2,0,3,0.1,0.001,1.2362
458,-20.84,4,0,5,0.1,0.001,2.2326
459,-30.33,2,0,3,0.1,0.001,1.2238
460,-30.22,2,0,3,0.1,0.001,1.2593
461,-22.78,5,0,6,0.1,0.001,1.3707
462,-29.91,3,0,4,0.1,0.001,0.7728
463,-25.23,4,0,5,0.1,0.001,1.3535
464,-16.9,8,0,9,0.1,0.001,1.2337
465,-29.33,2,0,3,0.1,0.001,1.5566
466,-30.3,2,0,3,0.1,0.001,1.2343
467,-22.52,4,0,5,0.1,0.001,1.8961
468,-14.62,8,0,9,0.1,0.001,1.4871
469,-25.47,3,0,4,0.1,0.001,1.8833
470,-17.62,6,0,7,0.1,0.001,1.7689
471,-23.19,4,0,5,0.1,0.001,1.7618
472,-28.46,3,0,4,0.1,0.001,1.1343
473,-10.16,8,0,9,0.1,0.001,1.9823
474,-33.74,1,0,2,0.1,0.001,0.629
475,-19.71,5,0,6,0.1,0.001,1.8815
476,-28.19,3,0,4,0.1,0.001,1.2033
